time,OCV
284.0,3.9821850000000003
285.0,3.9812600000000002
286.0,3.9804150000000003
287.0,3.9794850000000004
288.0,3.978645
289.0,3.977805
290.0,3.976955
291.0,3.9760299999999997
292.0,3.975275
293.0,3.97435
294.0,3.9735
295.0,3.9726600000000003
296.0,3.97182
297.0,3.970975
298.0,3.97013
299.0,3.96929
300.0,3.96845
301.0,3.967605
302.0,3.96676
303.0,3.9659199999999997
304.0,3.965075
305.0,3.9644000000000004
306.0,3.96356
307.0,3.962715
308.0,3.9618700000000002
309.0,3.96103
310.0,3.9602699999999995
311.0,3.9594300000000002
312.0,3.9586699999999997
313.0,3.9578299999999995
314.0,3.956985
315.0,3.956225
316.0,3.95547
317.0,3.954625
318.0,3.9538649999999995
319.0,3.9530250000000002
320.0,3.95235
321.0,3.951505
322.0,3.95075
323.0,3.94999
324.0,3.949145
325.0,3.948475
326.0,3.94763
327.0,3.946955
328.0,3.946115
329.0,3.945355
330.0,3.944595
331.0,3.943835
332.0,3.943075
333.0,3.942235
334.0,3.94156
335.0,3.9408000000000003
336.0,3.940045
337.0,3.93937
338.0,3.9386100000000006
339.0,3.937855
340.0,3.9370899999999995
341.0,3.9363350000000006
342.0,3.93558
343.0,3.9349
344.0,3.9340600000000006
345.0,3.93339
346.0,3.932625
347.0,3.9319550000000003
348.0,3.9312750000000003
349.0,3.930435
350.0,3.929765
351.0,3.9290000000000003
352.0,3.9283300000000003
353.0,3.9275700000000002
354.0,3.926895
355.0,3.9261399999999997
356.0,3.9253799999999996
357.0,3.92462
358.0,3.923945
359.0,3.92319
360.0,3.9225149999999998
361.0,3.921755
362.0,3.92108
363.0,3.9203200000000002
364.0,3.91965
365.0,3.91889
366.0,3.91813
367.0,3.9174599999999997
368.0,3.9167
369.0,3.9160250000000003
370.0,3.915265
371.0,3.914595
372.0,3.91383
373.0,3.913075
374.0,3.9123150000000004
375.0,3.9116400000000002
376.0,3.9109649999999996
377.0,3.91021
378.0,3.90945
379.0,3.90869
380.0,3.907935
381.0,3.907175
382.0,3.906415
383.0,3.9056550000000003
384.0,3.904985
385.0,3.90414
386.0,3.903385
387.0,3.90262
388.0,3.9019500000000003
389.0,3.9011050000000003
390.0,3.900265
391.0,3.899585
392.0,3.898745
393.0,3.89799
394.0,3.89723
395.0,3.8963900000000002
396.0,3.895545
397.0,3.8947849999999997
398.0,3.89394
399.0,3.893185
400.0,3.89234
401.0,3.891585
402.0,3.89074
403.0,3.8899850000000002
404.0,3.889055
405.0,3.8882149999999998
406.0,3.887365
407.0,3.886525
408.0,3.885595
409.0,3.8848399999999996
410.0,3.88391
411.0,3.8829849999999997
412.0,3.8821399999999997
413.0,3.8813
414.0,3.8804550000000004
415.0,3.87953
416.0,3.878685
417.0,3.8777600000000003
418.0,3.876835
419.0,3.87599
420.0,3.875065
421.0,3.874135
422.0,3.8732949999999997
423.0,3.872365
424.0,3.871525
425.0,3.870595
426.0,3.8696699999999997
427.0,3.868825
428.0,3.8678999999999997
429.0,3.86714
430.0,3.8662149999999995
431.0,3.865285
432.0,3.8645300000000002
433.0,3.8636
434.0,3.8626750000000003
435.0,3.8619149999999998
436.0,3.86099
437.0,3.8601449999999997
438.0,3.85939
439.0,3.85863
440.0,3.8577049999999997
441.0,3.856855
442.0,3.856015
443.0,3.8552550000000005
444.0,3.8544149999999995
445.0,3.853575
446.0,3.8528150000000005
447.0,3.852055
448.0,3.85121
449.0,3.85037
450.0,3.849695
451.0,3.8488550000000004
452.0,3.84809
453.0,3.84725
454.0,3.846575
455.0,3.8457349999999995
456.0,3.8449800000000005
457.0,3.844215
458.0,3.843375
459.0,3.8427
460.0,3.841945
461.0,3.84118
462.0,3.840425
463.0,3.839665
464.0,3.838825
465.0,3.8380650000000003
466.0,3.8373049999999997
467.0,3.83655
468.0,3.8358749999999997
